,frame,id,y,x,dy,dx,a,b,c,d,person_names,status
132,140,0,110.29,376.85,146.13,144.83,1,-1,-1,-1,Shubhankar,Working
133,141,0,108.62,377.03,145.95,145.27,1,-1,-1,-1,Shubhankar,Working
134,142,0,107.2,376.81,145.54,145.31,1,-1,-1,-1,Shubhankar,Working
135,143,0,106.76,377.35,145.24,145.34,1,-1,-1,-1,Shubhankar,Working
136,144,0,107.15,377.51,146.67,145.4,1,-1,-1,-1,Shubhankar,Working
137,145,0,106.8,378.01,148.26,145.17,1,-1,-1,-1,Shubhankar,Working
138,146,0,106.59,378.4,149.7,145.29,1,-1,-1,-1,Shubhankar,Working
139,147,0,106.09,378.51,150.48,145.38,1,-1,-1,-1,Shubhankar,Working
140,148,0,104.93,378.34,150.77,145.16,1,-1,-1,-1,Shubhankar,Working
141,149,0,104.46,378.48,150.99,145.27,1,-1,-1,-1,Shubhankar,Working
142,150,0,103.6,378.31,151.14,145.09,1,-1,-1,-1,Shubhankar,Working
143,151,0,103.27,377.43,151.25,144.67,1,-1,-1,-1,Shubhankar,Working
144,152,0,102.48,376.96,151.33,144.1,1,-1,-1,-1,Shubhankar,Working
145,153,0,102.27,376.42,150.57,143.95,1,-1,-1,-1,Shubhankar,Working
146,154,0,103.18,375.21,150.28,143.29,1,-1,-1,-1,Shubhankar,Working
147,155,0,103.6,373.55,150.07,142.81,1,-1,-1,-1,Shubhankar,Working
148,156,0,104.26,372.36,149.65,142.46,1,-1,-1,-1,Shubhankar,Working
149,157,0,105.07,371.14,149.06,141.93,1,-1,-1,-1,Shubhankar,Working
150,158,0,105.94,370.32,148.36,141.81,1,-1,-1,-1,Shubhankar,Working
151,159,0,106.32,370.04,148.67,141.74,1,-1,-1,-1,Shubhankar,Working
152,160,0,106.41,369.96,148.9,141.69,1,-1,-1,-1,Shubhankar,Working
153,161,0,106.59,369.76,149.34,141.38,1,-1,-1,-1,Shubhankar,Working
154,162,0,106.39,369.95,149.4,141.43,1,-1,-1,-1,Shubhankar,Working
155,163,0,106.12,369.56,149.17,141.73,1,-1,-1,-1,Shubhankar,Working
156,164,0,106.06,369.83,149.0,141.69,1,-1,-1,-1,Shubhankar,Working
157,165,0,106.34,369.77,148.32,141.37,1,-1,-1,-1,Shubhankar,Working
158,166,0,106.56,370.0,147.83,141.41,1,-1,-1,-1,Shubhankar,Working
159,167,0,106.28,370.55,147.75,141.18,1,-1,-1,-1,Shubhankar,Working
160,168,0,106.37,370.8,147.96,141.01,1,-1,-1,-1,Shubhankar,Working
161,169,0,106.37,371.78,148.12,141.16,1,-1,-1,-1,Shubhankar,Working
162,170,0,105.41,372.12,148.79,141.29,1,-1,-1,-1,Shubhankar,Working
163,171,0,104.28,372.88,149.28,141.38,1,-1,-1,-1,Shubhankar,Working
164,172,0,103.77,373.15,149.63,141.44,1,-1,-1,-1,Shubhankar,Working
165,173,0,104.18,373.7,149.89,141.22,1,-1,-1,-1,Shubhankar,Working
166,174,0,103.63,373.3,150.08,141.06,1,-1,-1,-1,Shubhankar,Working
167,175,0,102.93,372.89,150.51,141.49,1,-1,-1,-1,Shubhankar,Working
168,176,0,102.6,372.47,150.81,141.54,1,-1,-1,-1,Shubhankar,Working
169,177,0,101.77,372.3,151.03,141.57,1,-1,-1,-1,Shubhankar,Working
170,178,0,101.43,371.85,151.19,141.04,1,-1,-1,-1,Shubhankar,Working
171,179,0,100.81,371.96,151.58,140.94,1,-1,-1,-1,Shubhankar,Working
172,180,0,100.7,372.02,152.14,140.87,1,-1,-1,-1,Shubhankar,Working
173,181,0,100.76,372.7,152.83,140.83,1,-1,-1,-1,Shubhankar,Working
174,182,0,100.86,373.62,153.6,140.8,1,-1,-1,-1,Shubhankar,Working
175,183,0,101.23,374.82,153.9,141.05,1,-1,-1,-1,Shubhankar,Working
176,184,0,100.85,375.88,154.39,141.24,1,-1,-1,-1,Shubhankar,Working
177,185,0,100.43,376.43,154.48,141.64,1,-1,-1,-1,Shubhankar,Working
178,186,0,100.72,376.56,154.28,141.94,1,-1,-1,-1,Shubhankar,Working
179,187,0,100.68,376.74,153.86,142.42,1,-1,-1,-1,Shubhankar,Working
180,188,0,100.65,376.52,154.37,142.51,1,-1,-1,-1,Shubhankar,Working
181,189,0,101.02,376.4,154.47,142.58,1,-1,-1,-1,Shubhankar,Working
182,190,0,101.15,374.85,154.54,142.35,1,-1,-1,-1,Shubhankar,Working
183,191,0,100.07,373.91,154.86,141.64,1,-1,-1,-1,Shubhankar,Working
184,192,0,99.22,372.56,154.54,141.39,1,-1,-1,-1,Shubhankar,Working
185,193,0,98.5,371.91,154.59,140.94,1,-1,-1,-1,Shubhankar,Working
186,194,0,97.57,371.28,154.62,140.88,1,-1,-1,-1,Shubhankar,Working
187,195,0,96.64,371.06,153.83,140.84,1,-1,-1,-1,Shubhankar,Working
188,196,0,95.98,371.19,153.53,141.08,1,-1,-1,-1,Shubhankar,Working
189,197,0,96.07,371.01,152.75,140.97,1,-1,-1,-1,Shubhankar,Working
190,198,0,96.43,371.16,152.47,141.17,1,-1,-1,-1,Shubhankar,Working
191,199,0,97.2,371.37,153.09,141.61,1,-1,-1,-1,Shubhankar,Working
192,200,0,97.39,371.57,153.55,142.2,1,-1,-1,-1,Shubhankar,Working
193,201,0,97.39,372.01,153.88,142.36,1,-1,-1,-1,Shubhankar,Working
194,202,0,97.8,371.77,153.84,141.93,1,-1,-1,-1,Shubhankar,Working
195,203,0,98.43,372.14,153.55,142.15,1,-1,-1,-1,Shubhankar,Working
196,204,0,98.91,372.24,153.61,142.32,1,-1,-1,-1,Shubhankar,Working
197,205,0,98.43,372.9,153.65,142.45,1,-1,-1,-1,Shubhankar,Working
198,206,0,98.24,372.09,153.68,141.99,1,-1,-1,-1,Shubhankar,Working
199,207,0,99.1,370.56,153.15,141.65,1,-1,-1,-1,Shubhankar,Working
200,208,0,99.51,370.7,152.76,141.4,1,-1,-1,-1,Shubhankar,Working
201,209,0,100.93,369.88,151.39,141.75,1,-1,-1,-1,Shubhankar,Working
202,210,0,103.59,369.32,151.21,141.74,1,-1,-1,-1,Shubhankar,Working
203,211,0,105.65,368.73,151.62,141.2,1,-1,-1,-1,Shubhankar,Working
204,212,0,108.48,369.27,150.28,140.79,1,-1,-1,-1,Shubhankar,Working
205,213,0,113.04,370.67,149.29,140.22,1,-1,-1,-1,Shubhankar,Working
206,214,0,115.79,366.93,148.14,142.68,1,-1,-1,-1,Shubhankar,Working
207,215,0,116.53,358.25,148.88,147.71,1,-1,-1,-1,Shubhankar,Working
208,216,0,116.04,346.6,150.0,155.27,1,-1,-1,-1,Shubhankar,Working
209,217,0,115.26,331.65,151.53,164.24,1,-1,-1,-1,Shubhankar,Working
210,218,0,114.61,315.21,152.77,177.53,1,-1,-1,-1,Shubhankar,Working
211,219,0,116.86,297.47,151.44,189.44,1,-1,-1,-1,Shubhankar,Working
212,220,0,118.62,281.82,150.39,201.54,1,-1,-1,-1,Shubhankar,Working
213,221,0,122.66,266.68,148.4,213.05,1,-1,-1,-1,Shubhankar,Working
214,222,0,125.38,253.45,143.25,223.55,1,-1,-1,-1,Shubhankar,Working
215,223,0,128.04,244.71,134.71,232.66,1,-1,-1,-1,Shubhankar,Working
216,224,0,133.97,238.39,126.8,241.8,1,-1,-1,-1,Shubhankar,Working
217,225,0,140.55,232.78,120.3,248.74,1,-1,-1,-1,Shubhankar,Working
218,226,0,146.32,230.73,113.84,254.12,1,-1,-1,-1,Shubhankar,Working
219,227,0,150.74,228.29,108.8,257.82,1,-1,-1,-1,Shubhankar,Working
220,228,0,156.45,225.35,105.93,260.87,1,-1,-1,-1,Shubhankar,Working
221,229,0,162.82,222.3,105.48,264.18,1,-1,-1,-1,Shubhankar,Working
222,230,0,168.37,220.58,106.79,266.79,1,-1,-1,-1,Shubhankar,Working
223,231,0,175.68,220.7,107.17,266.43,1,-1,-1,-1,Shubhankar,Working
224,232,0,184.08,221.46,106.35,265.06,1,-1,-1,-1,Shubhankar,Working
225,233,0,198.11,221.92,104.39,261.11,1,-1,-1,-1,Shubhankar,Working
226,234,0,217.53,221.18,101.36,255.08,1,-1,-1,-1,Shubhankar,Not Working
227,235,0,234.68,219.87,96.66,249.76,1,-1,-1,-1,Shubhankar,Not Working
228,236,0,244.01,219.97,95.39,245.43,1,-1,-1,-1,Shubhankar,Not Working
229,237,0,248.59,220.39,101.56,243.19,1,-1,-1,-1,Shubhankar,Not Working
230,238,0,252.74,221.5,112.36,239.94,1,-1,-1,-1,Shubhankar,Not Working
231,239,0,258.66,225.0,121.05,237.95,1,-1,-1,-1,Shubhankar,Not Working
232,240,0,269.12,228.1,127.06,227.9,1,-1,-1,-1,Shubhankar,Not Working
233,241,0,284.48,232.53,129.58,224.88,1,-1,-1,-1,Shubhankar,Not Working
234,242,1,1127.82,333.36,175.86,328.2,1,-1,-1,-1,Customer,Working
235,242,0,305.45,236.71,131.74,219.48,1,-1,-1,-1,Shubhankar,Working
236,243,1,1106.81,299.18,186.59,382.33,1,-1,-1,-1,Customer,Working
237,243,0,325.87,240.52,132.51,223.54,1,-1,-1,-1,Shubhankar,Working
238,244,1,1089.24,281.53,196.39,419.0,1,-1,-1,-1,Customer,Working
239,244,0,344.07,253.87,133.44,244.43,1,-1,-1,-1,Shubhankar,Working
240,245,1,1068.35,273.78,201.29,437.43,1,-1,-1,-1,Customer,Working
241,245,0,361.98,262.77,133.92,267.51,1,-1,-1,-1,Shubhankar,Working
242,246,1,1039.22,263.05,203.01,453.68,1,-1,-1,-1,Customer,Working
243,246,0,379.27,262.54,133.26,287.9,1,-1,-1,-1,Shubhankar,Working
244,247,1,1006.69,256.48,213.91,467.56,1,-1,-1,-1,Customer,Working
245,247,0,403.37,259.4,138.28,308.05,1,-1,-1,-1,Shubhankar,Working
246,248,1,985.13,253.48,227.72,474.29,1,-1,-1,-1,Customer,Working
247,248,0,422.11,257.03,144.95,324.97,1,-1,-1,-1,Shubhankar,Working
248,249,1,963.8,256.57,236.08,472.77,1,-1,-1,-1,Customer,Working
249,249,0,436.79,253.58,143.85,336.86,1,-1,-1,-1,Shubhankar,Working
250,250,1,944.57,260.78,237.7,471.74,1,-1,-1,-1,Customer,Working
251,250,0,453.36,246.91,137.47,345.93,1,-1,-1,-1,Shubhankar,Working
252,251,1,934.97,263.36,225.81,468.88,1,-1,-1,-1,Customer,Working
253,251,0,473.95,243.19,129.0,355.41,1,-1,-1,-1,Shubhankar,Working
254,252,1,935.01,262.76,209.36,466.46,1,-1,-1,-1,Customer,Working
255,252,0,496.57,238.89,124.62,361.94,1,-1,-1,-1,Shubhankar,Working
256,253,1,935.93,263.06,190.67,463.31,1,-1,-1,-1,Customer,Working
257,253,0,525.21,234.16,138.7,371.07,1,-1,-1,-1,Shubhankar,Working
258,254,1,926.85,264.59,179.2,456.78,1,-1,-1,-1,Customer,Working
259,254,0,541.11,230.93,153.85,377.2,1,-1,-1,-1,Shubhankar,Working
260,255,1,913.2,267.34,172.68,451.41,1,-1,-1,-1,Customer,Working
261,255,0,547.97,231.08,167.93,383.15,1,-1,-1,-1,Shubhankar,Working
262,256,1,905.97,267.71,161.62,446.91,1,-1,-1,-1,Customer,Working
263,256,0,557.46,229.01,170.77,386.22,1,-1,-1,-1,Shubhankar,Working
264,257,1,897.56,266.29,152.1,443.17,1,-1,-1,-1,Customer,Working
265,257,0,580.58,224.71,159.15,387.73,1,-1,-1,-1,Shubhankar,Working
266,258,1,883.65,266.73,146.69,441.89,1,-1,-1,-1,Customer,Working
267,258,0,612.52,223.06,145.19,389.51,1,-1,-1,-1,Shubhankar,Working
268,259,1,867.41,268.51,145.98,440.91,1,-1,-1,-1,Customer,Working
269,259,0,643.87,227.35,144.07,393.98,1,-1,-1,-1,Shubhankar,Working
270,260,1,856.42,267.61,145.92,432.66,1,-1,-1,-1,Customer,Working
271,260,0,664.06,227.37,152.03,400.72,1,-1,-1,-1,Shubhankar,Working
272,261,1,846.24,269.29,145.83,427.56,1,-1,-1,-1,Customer,Working
273,261,0,680.14,226.4,164.39,406.42,1,-1,-1,-1,Shubhankar,Working
274,262,1,847.33,269.22,143.41,423.88,1,-1,-1,-1,Customer,Working
275,262,0,687.95,225.39,174.24,411.7,1,-1,-1,-1,Shubhankar,Working
276,263,1,864.54,262.77,134.64,415.81,1,-1,-1,-1,Customer,Working
277,263,0,700.57,221.25,178.95,416.51,1,-1,-1,-1,Shubhankar,Working
278,264,1,874.48,262.44,135.74,407.36,1,-1,-1,-1,Customer,Working
279,264,0,724.1,218.92,183.19,419.07,1,-1,-1,-1,Shubhankar,Working
280,265,1,881.88,261.87,134.77,401.28,1,-1,-1,-1,Customer,Working
281,265,0,735.95,216.66,176.42,420.74,1,-1,-1,-1,Shubhankar,Working
282,266,1,880.6,265.74,139.19,395.55,1,-1,-1,-1,Customer,Working
283,266,0,742.11,215.29,167.37,421.64,1,-1,-1,-1,Shubhankar,Working
284,267,1,882.86,267.98,142.36,388.74,1,-1,-1,-1,Customer,Working
285,267,0,755.4,215.96,174.17,422.16,1,-1,-1,-1,Shubhankar,Working
286,268,1,872.95,266.15,151.76,383.18,1,-1,-1,-1,Customer,Working
287,268,0,754.93,214.93,165.16,422.25,1,-1,-1,-1,Shubhankar,Working
288,269,1,872.9,262.27,157.43,380.4,1,-1,-1,-1,Customer,Working
289,269,0,756.92,214.53,158.32,421.57,1,-1,-1,-1,Shubhankar,Working
290,270,1,875.34,261.45,161.52,376.26,1,-1,-1,-1,Customer,Working
291,270,0,762.59,214.38,159.34,421.93,1,-1,-1,-1,Shubhankar,Working
292,271,1,857.33,255.88,176.42,376.88,1,-1,-1,-1,Customer,Working
293,271,0,764.02,213.81,157.07,422.38,1,-1,-1,-1,Shubhankar,Working
294,272,1,868.0,261.85,176.72,374.21,1,-1,-1,-1,Customer,Working
295,272,0,767.41,215.04,159.52,422.24,1,-1,-1,-1,Shubhankar,Working
296,273,1,878.03,263.76,172.96,373.43,1,-1,-1,-1,Customer,Working
297,273,0,765.54,216.84,158.84,422.09,1,-1,-1,-1,Shubhankar,Working
298,274,1,900.86,269.53,155.22,370.37,1,-1,-1,-1,Customer,Working
299,274,0,759.77,217.58,150.4,422.54,1,-1,-1,-1,Shubhankar,Working
300,275,1,922.77,269.76,137.77,366.71,1,-1,-1,-1,Customer,Working
301,275,0,756.57,217.82,140.14,423.41,1,-1,-1,-1,Shubhankar,Working
302,276,1,945.54,270.23,120.54,362.68,1,-1,-1,-1,Customer,Working
303,276,0,754.07,216.69,128.54,423.51,1,-1,-1,-1,Shubhankar,Working
304,277,1,956.77,271.0,109.39,358.76,1,-1,-1,-1,Customer,Working
305,277,0,754.31,216.23,120.07,423.58,1,-1,-1,-1,Shubhankar,Working
306,278,1,963.29,272.91,101.82,354.12,1,-1,-1,-1,Customer,Working
307,278,0,756.58,216.45,114.17,423.42,1,-1,-1,-1,Shubhankar,Working
308,279,1,967.3,276.2,95.75,350.59,1,-1,-1,-1,Customer,Working
309,279,0,757.22,217.86,110.13,423.3,1,-1,-1,-1,Shubhankar,Working
310,280,1,968.21,276.16,91.89,348.64,1,-1,-1,-1,Customer,Working
311,280,0,757.59,218.8,107.45,423.72,1,-1,-1,-1,Shubhankar,Working
312,281,1,965.25,279.81,89.09,347.17,1,-1,-1,-1,Customer,Working
313,281,0,757.63,220.04,105.77,422.74,1,-1,-1,-1,Shubhankar,Working
314,282,1,963.72,282.16,86.78,346.05,1,-1,-1,-1,Customer,Working
315,282,0,758.31,222.63,104.27,422.0,1,-1,-1,-1,Shubhankar,Working
316,283,1,960.23,284.39,89.02,346.24,1,-1,-1,-1,Customer,Working
317,283,0,759.32,222.25,104.0,423.09,1,-1,-1,-1,Shubhankar,Working
318,284,1,953.72,286.07,94.32,347.94,1,-1,-1,-1,Customer,Working
319,284,0,760.51,222.73,104.08,424.19,1,-1,-1,-1,Shubhankar,Working
320,285,1,946.76,284.81,100.71,350.44,1,-1,-1,-1,Customer,Working
